Respondent,InterviewDuration,RandVar,S1,Q01,Q02,Q03,Q04,Q05,Q06Num,Q07Num,Q06,Q06a,Q06b,Q06b_TXT,Q06c,Q07,Q07a,Q07bNum,Q07cNum,Q07b,Q07c,Q07d,Q07d_TXT,Q08,Q08b,Q08b_TXT,Q09Var,Q09varA,Q09varB,Q09varC,Q10Var,Q10varA,Q10varB,Q10varC,Q11Var,Q11varA,Q11varB,Q11varC,Q12Var,Q12varA,Q12varB,Q12varC,Q09,Q10,Q11,Q12,Q12b,Q13,Q14,Q15,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_80,Q17_TXT,Q18,Q19,Q20,Q21,Q22,Q23,Q24a,Q24,Q25,Q26,Q26_TXT
62,677,1,Yes,Female,26-39,21-49 miles,01-Feb,Average knowledge,50,20,No,Very sure,Chosen,Don't know,Very sure,Yes,Quite sure,40,,No,Question skipped,,,Option A,,The 90% reduction in performance,3,5%,10%,£5,3,5%,4%,£0.50,2,5%,10%,£1,3,10%,40%,£1,Option A,Option A,Option B,Option B,Quite sure,2,3,4,None of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Good knowledge,Don’t know,4,GCSE’s / O levels,Part-time employment,No,£2001-£2500,10 - Perfectly clear,Chosen,No further comments
63,738,2,Yes,Male,26-39,50+ miles,0,Average knowledge,50,5,Yes,Quite sure,,,Question skipped,Yes,Very sure,10,,Yes,Question skipped,,,Option A,,"£5 cheaper, big difference when I've got other household or grocery purchase . Depends how often the item gets used up and I need to purchase again .",1,50%,40%,£5,3,5%,4%,£0.50,3,10%,90%,£5,3,10%,40%,£1,Option A,Option B,Option A,Option B,Quite sure,4,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Chosen,Individuals,Yes,Little knowledge,Don’t know,4,Bachelor’s degree,Full-time employment,Yes,£1001-£1500,9,,Thank you for the back ground info. Good to know and will review further online
64,565,1,Yes,Female,26-39,Don’t know,0,No knowledge,50,50,Yes,Unsure,,,Question skipped,Yes,Unsure,100,,No,Question skipped,,,Option A,Chosen,Don't know,3,5%,10%,£5,2,5%,40%,£2.50,3,10%,90%,£5,1,50%,10%,£0.50,Option A,Option B,Option B,Option B,Unsure,3,4,4,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Average knowledge,Don’t know,3,A level or college equivalent,Part-time employment,No,Prefer not to say,10 - Perfectly clear,Chosen,No further comments
65,396,1,Yes,Male,40-55,11-20 miles,6+,Good knowledge,70,60,Yes,Very sure,,,Question skipped,Yes,Very sure,120,,Yes,Question skipped,,,Option A,,B makes no sense/difference.,4,10%,10%,£2.50,3,5%,4%,£0.50,3,10%,90%,£5,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,4,4,5 – Completely agree,All of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Good knowledge,Yes,5 – Very confident,Bachelor’s degree,Full-time employment,No,£4001-£5000,10 - Perfectly clear,,Interesting survey for a change. Very worthwhile.
66,218,1,Yes,Female,26-39,3-10 miles,01-Feb,Average knowledge,10,5,Yes,Very sure,,,Question skipped,Yes,Very sure,10,,Yes,Question skipped,,,Option A,Chosen,Don't know,2,50%,90%,£1,2,5%,40%,£2.50,3,10%,90%,£5,2,50%,10%,£2.50,Option A,Option A,Option A,Option B,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,None of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,Yes,Little knowledge,No,5 – Very confident,GCSE’s / O levels,Full-time employment,No,£1501-£2000,10 - Perfectly clear,Chosen,No further comments
68,425,1,Yes,Male,26-39,11-20 miles,03-May,No knowledge,30,50,No,Unsure,,so expensive during coronavirus outbreak,Quite sure,No,Unsure,,25,Question skipped,Yes,,,Option B,,not sure,3,5%,10%,£5,3,5%,4%,£0.50,3,10%,90%,£5,1,50%,10%,£0.50,Option A,Option B,Option A,Option B,Unsure,3,4,3,Some of it,Not chosen,Not chosen,Chosen,Chosen,Not chosen,,Prefer not to say,Little knowledge,Yes,3,Bachelor’s degree,Full-time employment,Yes,£1501-£2000,6,,good survey
69,176,2,Yes,Female,18-25,50+ miles,01-Feb,Little knowledge,20,60,No,Unsure,,Not afford it,Quite sure,Yes,Quite sure,120,,Yes,Question skipped,,,Option A,,Better option,1,50%,40%,£5,2,5%,40%,£2.50,1,5%,90%,£2.50,2,50%,10%,£2.50,Option A,Option A,Option B,Option B,Quite sure,4,4,3,None of it,Not chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,Little knowledge,Don’t know,4,A level or college equivalent,Student,Yes,£1501-£2000,8,Chosen,No further comments
70,201,1,Yes,Male,26-39,3-10 miles,6+,Good knowledge,20,5,Yes,Very sure,,,Question skipped,Yes,Very sure,10,,Yes,Question skipped,,,Option A,,Think it seems like the best option from what I read of the second option.   Definitely.,2,50%,90%,£1,3,5%,4%,£0.50,1,5%,90%,£2.50,2,50%,10%,£2.50,Option A,Option A,Option A,Option B,Quite sure,3,3,2,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,Yes,Good knowledge,Don’t know,3,Bachelor’s degree,Full-time employment,No,£1501-£2000,8,Chosen,No further comments
71,272,1,Yes,Male,26-39,21-49 miles,01-Feb,No knowledge,70,30,No,Very sure,,Can't afford it,Very sure,No,Very sure,,15,Question skipped,No,,Water costs are already high enough,Option A,Chosen,Don't know,3,5%,10%,£5,2,5%,40%,£2.50,2,5%,10%,£1,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Very sure,1 – Completely disagree,2,4,None of it,Not chosen,Not chosen,Not chosen,Chosen,Not chosen,,No,No knowledge,No,2,GCSE’s / O levels,"Not in education, employment or training",No,£0-£500,10 - Perfectly clear,Chosen,No further comments
72,346,2,Yes,Female,18-25,21-49 miles,01-Feb,Strong knowledge,60,60,Yes,Quite sure,,,Question skipped,Yes,Quite sure,120,,No,Question skipped,,,Option B,,I feel like it will be more effective,2,50%,90%,£1,4,5%,10%,£1,3,10%,90%,£5,3,10%,40%,£1,Option A,Option A,Option A,Option A,Very sure,5 – Completely agree,2,4,All of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,Yes,Good knowledge,Yes,4,A level or college equivalent,Part-time employment,No,£0-£500,10 - Perfectly clear,,I was happy to complete it
73,296,2,Yes,Female,40-55,3-10 miles,6+,Little knowledge,30,70,Yes,Quite sure,,,Question skipped,Yes,Quite sure,140,,No,Question skipped,,,Option A,Chosen,Don't know,1,50%,40%,£5,3,5%,4%,£0.50,2,5%,10%,£1,1,50%,10%,£0.50,Option B,Option B,Option A,Option A,Quite sure,3,3,4,Some of it,Chosen,Chosen,Not chosen,Not chosen,Not chosen,,Yes,Little knowledge,Don’t know,3,GCSE’s / O levels,Full-time employment,Yes,£501-£1000,10 - Perfectly clear,Chosen,No further comments
74,255,2,Yes,Female,18-25,21-49 miles,01-Feb,Little knowledge,5,5,Yes,Quite sure,,,Question skipped,Yes,Quite sure,10,,Yes,Question skipped,,,Option A,,Easier,3,5%,10%,£5,4,5%,10%,£1,3,10%,90%,£5,4,5%,10%,£5,Option B,Option B,Option B,Option B,Very sure,3,3,4,Some of it,Not chosen,Not chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Don’t know,4,A level or college equivalent,Student,No,Prefer not to say,10 - Perfectly clear,Chosen,No further comments
75,548,2,Yes,Male,56-70,0-2 miles,01-Feb,Strong knowledge,30,20,No,Very sure,Chosen,Don't know,Very sure,No,Very sure,,10,Question skipped,No,Chosen,Don't know,Option B,Chosen,Don't know,2,50%,90%,£1,3,5%,4%,£0.50,3,10%,90%,£5,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,All of it,Not chosen,Chosen,Not chosen,Not chosen,Not chosen,,Yes,Strong knowledge,Yes,5 – Very confident,Prefer not to say,Retired,Yes,Prefer not to say,10 - Perfectly clear,Chosen,No further comments
77,377,2,Yes,Male,40-55,11-20 miles,6+,No knowledge,5,30,Yes,Quite sure,,,Question skipped,No,Quite sure,,15,Question skipped,No,Chosen,Don't know,Option B,Chosen,Don't know,1,50%,40%,£5,2,5%,40%,£2.50,3,10%,90%,£5,3,10%,40%,£1,Option A,Option A,Option A,Option A,Quite sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,Good knowledge,Yes,5 – Very confident,GCSE’s / O levels,Full-time employment,No,£2501-£3000,7,Chosen,No further comments
78,302,2,Yes,Female,18-25,21-49 miles,01-Feb,Good knowledge,70,60,No,Quite sure,,Can't afford it every month.,Quite sure,No,Quite sure,,30,Question skipped,No,,Can't afford to pay for it every month.,Option A,,It doesn't cost extra.,3,5%,10%,£5,2,5%,40%,£2.50,2,5%,10%,£1,1,50%,10%,£0.50,Option B,Option B,Option B,Option A,Quite sure,2,4,5 – Completely agree,None of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,4,Bachelor’s degree,Student,No,£2001-£2500,8,Chosen,No further comments
79,418,2,Yes,Female,56-70,50+ miles,0,Little knowledge,50,70,No,Very sure,,Water companies should conduct and pay for the research,Very sure,Yes,Quite sure,140,,No,Question skipped,,,Option B,,This is the only way to stop them entering the environment,3,5%,10%,£5,3,5%,4%,£0.50,1,5%,90%,£2.50,2,50%,10%,£2.50,Option A,Option A,Option B,Option A,Very sure,3,4,5 – Completely agree,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,Prefer not to say,Average knowledge,Don’t know,5 – Very confident,Bachelor’s degree,Retired,No,Prefer not to say,8,Chosen,No further comments
80,1393,2,Yes,Female,56-70,50+ miles,03-May,Average knowledge,40,20,Yes,Quite sure,,,Question skipped,Yes,Very sure,40,,Yes,Question skipped,,,Option A,Chosen,Don't know,3,5%,10%,£5,4,5%,10%,£1,2,5%,10%,£1,3,10%,40%,£1,Option B,Option B,Option B,Option B,Quite sure,4,4,4,Some of it,Not chosen,Chosen,Chosen,Not chosen,Not chosen,,Yes,Average knowledge,Yes,4,Bachelor’s degree,Prefer not to say,No,Prefer not to say,10 - Perfectly clear,Chosen,No further comments
81,896,1,Yes,Male,40-55,50+ miles,01-Feb,No knowledge,10,5,Yes,Very sure,,,Question skipped,Yes,Very sure,10,,Yes,Question skipped,,,Option B,,willhelp more,2,50%,90%,£1,2,5%,40%,£2.50,4,5%,90%,£0.50,4,5%,10%,£5,Option B,Option B,Option B,Option B,Very sure,3,5 – Completely agree,5 – Completely agree,None of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Good knowledge,Yes,5 – Very confident,Prefer not to say,Full-time employment,No,£1001-£1500,10 - Perfectly clear,,very interesting
82,218,1,Yes,Female,26-39,3-10 miles,01-Feb,Little knowledge,20,50,No,Very sure,Chosen,Don't know,Very sure,No,Very sure,,25,Question skipped,No,Chosen,Don't know,Option A,Chosen,Don't know,2,50%,90%,£1,2,5%,40%,£2.50,3,10%,90%,£5,3,10%,40%,£1,Option A,Option A,Option A,Option A,Quite sure,4,4,4,None of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,Prefer not to say,Average knowledge,No,3,GCSE’s / O levels,Full-time employment,Yes,£501-£1000,8,Chosen,No further comments
83,231,2,Yes,Male,40-55,50+ miles,01-Feb,Little knowledge,5,20,Yes,Quite sure,,,Question skipped,No,Unsure,,10,Question skipped,Yes,,,Option B,,the better option available,4,10%,10%,£2.50,3,5%,4%,£0.50,2,5%,10%,£1,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Very sure,3,5 – Completely agree,3,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,No,3,GCSE’s / O levels,Full-time employment,No,£2001-£2500,10 - Perfectly clear,Chosen,No further comments
85,334,2,Yes,Female,40-55,0-2 miles,6+,Good knowledge,50,30,Yes,Quite sure,,,Question skipped,Yes,Quite sure,60,,Yes,Question skipped,,,Option B,Chosen,Don't know,1,50%,40%,£5,1,10%,10%,£0.50,4,5%,90%,£0.50,3,10%,40%,£1,Option B,Option B,Option B,Option B,Quite sure,3,3,3,All of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Good knowledge,Yes,3,Bachelor’s degree,Full-time employment,Yes,£5001+,10 - Perfectly clear,Chosen,No further comments
88,258,2,Yes,Female,40-55,11-20 miles,6+,Average knowledge,70,50,No,Quite sure,Chosen,Don't know,Quite sure,No,Very sure,,25,Question skipped,Yes,,,Option A,Chosen,Don't know,2,50%,90%,£1,1,10%,10%,£0.50,1,5%,90%,£2.50,4,5%,10%,£5,Option A,Option A,Option A,Option A,Very sure,3,3,3,Some of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Little knowledge,Don’t know,3,Bachelor’s degree,Full-time employment,No,£2001-£2500,8,Chosen,No further comments
90,136,1,Yes,Female,26-39,11-20 miles,01-Feb,Good knowledge,30,5,No,Quite sure,Chosen,Don't know,Quite sure,No,Quite sure,,2,Question skipped,Yes,,,Option A,Chosen,Don't know,3,5%,10%,£5,2,5%,40%,£2.50,2,5%,10%,£1,4,5%,10%,£5,Option A,Option A,Option A,Option A,Quite sure,3,3,4,Some of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,3,Bachelor’s degree,Full-time employment,No,£2001-£2500,10 - Perfectly clear,Chosen,No further comments
91,139,1,Yes,Male,18-25,21-49 miles,01-Feb,Average knowledge,10,30,Yes,Unsure,,,Question skipped,Yes,Quite sure,60,,Yes,Question skipped,,,Option A,Chosen,Don't know,3,5%,10%,£5,3,5%,4%,£0.50,2,5%,10%,£1,2,50%,10%,£2.50,Option B,Option B,Option A,Option B,Very sure,2,4,5 – Completely agree,Some of it,Not chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Good knowledge,Yes,3,A level or college equivalent,Student,Yes,£0-£500,10 - Perfectly clear,Chosen,No further comments
92,189,2,Yes,Male,40-55,11-20 miles,6+,No knowledge,60,40,No,Very sure,Chosen,Don't know,Very sure,No,Very sure,,20,Question skipped,No,Chosen,Don't know,Option A,Chosen,Don't know,3,5%,10%,£5,3,5%,4%,£0.50,4,5%,90%,£0.50,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Very sure,3,3,3,None of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,No knowledge,No,3,Bachelor’s degree,Full-time employment,No,£4001-£5000,10 - Perfectly clear,Chosen,No further comments
93,335,1,Yes,Male,56-70,11-20 miles,03-May,Average knowledge,70,40,No,Quite sure,,Lack of money,Quite sure,No,Unsure,,20,Question skipped,Yes,,,Option B,,Reasonable cost,2,50%,90%,£1,2,5%,40%,£2.50,4,5%,90%,£0.50,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Quite sure,4,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,No,3,Postgraduate degree,Full-time employment,No,£5001+,9,Chosen,No further comments
94,246,1,Yes,Female,26-39,Don’t know,01-Feb,Good knowledge,5,50,Yes,Quite sure,,,Question skipped,Yes,Quite sure,100,,No,Question skipped,,,Option A,,Reduce efficiency by 90% but increase price,4,10%,10%,£2.50,3,5%,4%,£0.50,2,5%,10%,£1,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Quite sure,3,4,5 – Completely agree,All of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,4,Bachelor’s degree,Full-time employment,Yes,£1001-£1500,10 - Perfectly clear,Chosen,No further comments
95,298,1,Yes,Male,40-55,3-10 miles,6+,Good knowledge,5,50,Yes,Quite sure,,,Question skipped,Yes,Quite sure,100,,Yes,Question skipped,,,Option A,,It was less expensive,3,5%,10%,£5,2,5%,40%,£2.50,1,5%,90%,£2.50,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Quite sure,4,4,4,All of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Yes,4,A level or college equivalent,Full-time employment,Yes,£1501-£2000,10 - Perfectly clear,Chosen,No further comments
96,549,1,Yes,Male,56-70,0-2 miles,6+,Average knowledge,60,5,Yes,Very sure,,,Question skipped,Yes,Very sure,10,,Yes,Question skipped,,,Option B,,"stopping microplastics in the environment is important, but there must be a price to pay",4,10%,10%,£2.50,2,5%,40%,£2.50,3,10%,90%,£5,4,5%,10%,£5,Option B,Option B,Option B,Option A,Very sure,3,4,5 – Completely agree,Some of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,Yes,Average knowledge,No,5 – Very confident,Bachelor’s degree,Full-time employment,No,£3001-£4000,10 - Perfectly clear,Chosen,No further comments
97,1020,2,Yes,Male,40-55,21-49 miles,03-May,Good knowledge,50,20,No,Quite sure,Chosen,Don't know,Quite sure,Yes,Very sure,40,,Yes,Question skipped,,,Option A,,the loss in benefits is not worth the extra £5 cost,2,50%,90%,£1,2,5%,40%,£2.50,2,5%,10%,£1,3,10%,40%,£1,Option B,Option B,Option B,Option B,Quite sure,3,4,5 – Completely agree,Some of it,Chosen,Chosen,Not chosen,Not chosen,Not chosen,,Yes,Good knowledge,Yes,5 – Very confident,Bachelor’s degree,Full-time employment,No,£3001-£4000,10 - Perfectly clear,Chosen,No further comments
98,358,2,Yes,Female,18-25,0-2 miles,6+,Average knowledge,50,10,No,Quite sure,,"already pay enough, this should be covered",Very sure,Yes,Quite sure,20,,No,Question skipped,,,Option B,,better for environment,4,10%,10%,£2.50,2,5%,40%,£2.50,3,10%,90%,£5,2,50%,10%,£2.50,Option A,Option B,Option B,Option A,Very sure,4,5 – Completely agree,4,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Good knowledge,No,2,Postgraduate degree,Full-time employment,Yes,£2001-£2500,10 - Perfectly clear,Chosen,No further comments
99,1151,2,Yes,Female,40-55,21-49 miles,01-Feb,Average knowledge,50,5,Yes,Quite sure,,,Question skipped,Yes,Quite sure,10,,Yes,Question skipped,,,Option A,,The percentage reduction in microplastics is the same in both catagories of 0%.,3,5%,10%,£5,4,5%,10%,£1,3,10%,90%,£5,3,10%,40%,£1,Option B,Option B,Option B,Option B,Quite sure,3,4,4,Some of it,Chosen,Chosen,Chosen,Not chosen,Chosen,The general public,Yes,Good knowledge,Yes,4,Postgraduate degree,"Not in education, employment or training",No,£1001-£1500,9,,This was an interesting survey of which I have learned some new information thank you.
100,162,1,Yes,Male,40-55,11-20 miles,01-Feb,Little knowledge,70,40,No,Unsure,Chosen,Don't know,Unsure,No,Unsure,,20,Question skipped,No,Chosen,Don't know,Option A,Chosen,Don't know,1,50%,40%,£5,4,5%,10%,£1,4,5%,90%,£0.50,4,5%,10%,£5,Option A,Option A,Option A,Option A,Unsure,3,3,3,None of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,Prefer not to say,Little knowledge,Don’t know,3,A level or college equivalent,Full-time employment,Yes,£2501-£3000,10 - Perfectly clear,Chosen,No further comments
102,296,2,Yes,Male,40-55,21-49 miles,6+,Average knowledge,10,5,Yes,Quite sure,,,Question skipped,Yes,Very sure,10,,Yes,Question skipped,,,Option B,,"Think we need to do something now. At little cost, before it comes too expensive",2,50%,90%,£1,4,5%,10%,£1,3,10%,90%,£5,4,5%,10%,£5,Option B,Option B,Option A,Option B,Very sure,2,3,3,All of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Yes,3,Postgraduate degree,Full-time employment,Yes,£2001-£2500,10 - Perfectly clear,Chosen,No further comments
104,280,1,Yes,Female,26-39,Don’t know,0,No knowledge,70,50,No,Very sure,Chosen,Don't know,Very sure,No,Very sure,,25,Question skipped,No,Chosen,Don't know,Option A,Chosen,Don't know,3,5%,10%,£5,2,5%,40%,£2.50,1,5%,90%,£2.50,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Very sure,3,3,3,None of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,No knowledge,Don’t know,3,Postgraduate degree,Full-time employment,No,£1001-£1500,10 - Perfectly clear,Chosen,No further comments
105,622,2,Yes,Female,26-39,21-49 miles,01-Feb,Good knowledge,20,20,No,Quite sure,Chosen,Don't know,Quite sure,Yes,Very sure,40,,Yes,Question skipped,,,Option A,,Different,3,5%,10%,£5,4,5%,10%,£1,3,10%,90%,£5,4,5%,10%,£5,Option A,Option B,Option B,Option A,Quite sure,4,3,5 – Completely agree,Some of it,Not chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,Good knowledge,Yes,4,Postgraduate degree,Full-time employment,Yes,£1001-£1500,7,Chosen,No further comments
106,340,2,Yes,Male,56-70,21-49 miles,01-Feb,Little knowledge,70,10,No,Quite sure,,reduce water company profits,Very sure,Yes,Very sure,20,,Yes,Question skipped,,,Option A,Chosen,Don't know,2,50%,90%,£1,1,10%,10%,£0.50,4,5%,90%,£0.50,3,10%,40%,£1,Option B,Option B,Option B,Option B,Quite sure,3,2,3,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Average knowledge,Don’t know,3,Postgraduate degree,Full-time employment,Yes,£5001+,5,Chosen,No further comments
107,1227,2,Yes,Male,26-39,11-20 miles,03-May,Strong knowledge,50,30,Yes,Very sure,,,Question skipped,Yes,Very sure,60,,Yes,Question skipped,,,Option B,,perfect,4,10%,10%,£2.50,3,5%,4%,£0.50,1,5%,90%,£2.50,1,50%,10%,£0.50,Option B,Option B,Option B,Option B,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,All of it,Not chosen,Chosen,Not chosen,Not chosen,Not chosen,,Yes,Strong knowledge,Yes,5 – Very confident,Postgraduate degree,Full-time employment,Yes,£4001-£5000,10 - Perfectly clear,,perfect
